Processes: 411 total, 4 running, 407 sleeping, 1814 threads 
2018/10/10 10:38:01
Load Avg: 1.87, 1.65, 1.67 
CPU usage: 12.91% user, 14.16% sys, 72.91% idle 
SharedLibs: 189M resident, 56M data, 18M linkedit.
MemRegions: 93775 total, 4977M resident, 138M private, 1459M shared.
PhysMem: 15G used (2855M wired), 958M unused.
VM: 1863G vsize, 1302M framework vsize, 3123227(0) swapins, 3634695(0) swapouts.
Networks: packets: 0/0B in, 0/0B out.
Disks: 0/0B read, 0/0B written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM    PURG   CMPRS  PGRP  PPID  STATE    BOOSTS     %CPU_ME %CPU_OTHRS UID FAULTS   COW    MSGSENT   MSGRECV   SYSBSD    SYSMACH   CSW       PAGEINS IDLEW POWER INSTRS CYCLES USER                   #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
36557  UsageTrackingAge 0.0  00:00.15 2     1   50     2460K  0B     1616K  36557 1     sleeping  0[0]      0.00000 0.00000    501 6037     179    641       544       9184      2250      2180      33      0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
36472  CallHistorySyncH 0.0  00:02.09 2     1   79     7764K  0B     3700K  36472 1     sleeping *0[27]     0.00000 0.00000    501 18288    319    2517      5277      52225     27829     27775     417     0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
36397  PerfPowerService 0.0  00:20.53 2     1   154    9016K  256K   2172K  36397 1     sleeping *0[191]    0.00000 0.00000    0   53343    217    61558     33746     283870    62289     83705     2779    0     0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
36297  IMRemoteURLConne 0.0  00:00.87 3     1   78     3060K  0B     1364K  36297 1     sleeping *0[45]     0.00000 0.00000    501 9643     201    2225      6222      58318     15226     25623     2       0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
35255  MTLCompilerServi 0.0  00:00.16 2     2   21     7896K  0B     7728K  35255 1     sleeping *0[16]     0.00000 0.00000    501 9541     441    220       95        1834      472       555       345     0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
35253  Preview          0.0  15:11.00 5     2   575    387M   12060K 163M   35253 1     sleeping  0[11699]  0.00000 0.00000    501 9518740  3771   8538368   1501804   67803986  17202894  6771877   16761   0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
33315  VTDecoderXPCServ 0.0  00:00.39 2     1   55     4808K  0B     3836K  33315 1     sleeping *0[65]     0.00000 0.00000    501 8642     203    13965     6261      9374      11938     3796      51      0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
33314  com.apple.access 0.0  00:00.08 2     2   31     1116K  0B     660K   33314 1     sleeping *0[2]      0.00000 0.00000    501 3744     130    199       414       2599      733       1264      0       0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
31912  xpcroleaccountd  0.0  00:00.50 2     2   37     2700K  0B     1876K  31912 1     sleeping *0[1]      0.00000 0.00000    0   5386     174    332       4971      18356     5479      14546     6       0     0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
31844  MTLCompilerServi 0.0  00:00.09 2     2   25     6800K  0B     6624K  31844 1     sleeping *0[4]      0.00000 0.00000    501 5327     443    141       77        1268      382       313       59      0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
31790  SimAudioProcesso 0.0  00:05.87 3     1   180    8708K  0B     6500K  31790 1     sleeping *0[1810]   0.00000 0.00000    501 25111    350    62595     27269     897844    192624    112141    301     0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
31789  SimStreamProcess 0.0  00:15.85 3     1   161    27660K 0B     25236K 31789 1     sleeping *0[11219]  0.00000 0.00000    501 278329   461    158186    86881     1248523   412506    233193    482     0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
31607  com.apple.CoreSi 0.0  00:16.93 3     1   150    10544K 0B     8084K  31607 1     sleeping *0[14906]  0.00000 0.00000    501 19289    323    187910    68309     1406525   374422    283251    169     0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
30830  IMAutomaticHisto 0.0  00:00.39 2     2   67     2800K  0B     764K   30830 1     sleeping  0[0]      0.00000 0.00000    501 13951    218    1243      857       9822      3847      5251      37      0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
29812  mapspushd        0.0  00:00.64 2     1   85     7652K  0B     4688K  29812 1     sleeping *0[55]     0.00000 0.00000    501 16270    235    2998      1557      19717     6751      5890      173     0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
29764  cdpd             0.0  00:00.09 2     1   34     1360K  0B     784K   29764 1     sleeping *0[8]      0.00000 0.00000    501 5739     145    367       260       2660      954       1415      56      0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
26439  mobileactivation 0.0  00:00.06 2     1   52     1032K  0B     444K   26439 1     sleeping  0[0]      0.00000 0.00000    501 2818     140    210       118       1614      575       530       48      0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
22500  reversetemplated 0.0  00:00.20 3     1   45     9792K  0B     7944K  22500 1     sleeping *0[5]      0.00000 0.00000    501 13639    201    749       649       8138      4875      2827      358     0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
